"title","link","description","pub_date"
"The Sub-$30,000 Chevy Equinox EV Is America's Most Important Electric Car Since The Tesla Model Y - The Autopian","https://news.google.com/rss/articles/CBMihQJodHRwczovL3d3dy50aGVhdXRvcGlhbi5jb20vdGhlLXN1Yi0zMDAwMC1jaGV2eS1lcXVpbm94LWV2LWlzLWFtZXJpY2FzLW1vc3QtaW1wb3J0YW50LWVsZWN0cmljLWNhci1zaW5jZS10aGUtdGVzbGEtbW9kZWwteS8_dXRtX3NvdXJjZT1yc3MmdXRtX21lZGl1bT1yc3MmdXRtX2NhbXBhaWduPXRoZS1zdWItMzAwMDAtY2hldnktZXF1aW5veC1ldi1pcy1hbWVyaWNhcy1tb3N0LWltcG9ydGFudC1lbGVjdHJpYy1jYXItc2luY2UtdGhlLXRlc2xhLW1vZGVsLXnSAQA?oc=5","The Sub-$30,000 Chevy Equinox EV Is America's Most Important Electric Car Since The Tesla Model Y  The Autopian","Wed, 29 May 2024 18:53:01 GMT"
"Tesla axes cheapest Model Y – but now there's a longer range one for $2k more - Electrek.co","https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vZWxlY3RyZWsuY28vMjAyNC8wNS8wNC90aGUtY2hlYXBlc3QtbW9kZWwteS1pcy1uby1tb3JlLXRlc2xhLWludHJvZHVjZXMtbG9uZy1yYW5nZS1yd2QtZm9yLTQ0ay_SAQA?oc=5","Tesla axes cheapest Model Y – but now there's a longer range one for $2k more  Electrek.co","Sat, 04 May 2024 07:00:00 GMT"
"Tesla Model Y built in Germany spotted with Hardware 4 - TESLARATI","https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnRlc2xhcmF0aS5jb20vdGVzbGEtbW9kZWwteS1idWlsdC1pbi1nZXJtYW55LXNwb3R0ZWQtaGFyZHdhcmUtNC_SAVBodHRwczovL3d3dy50ZXNsYXJhdGkuY29tL3Rlc2xhLW1vZGVsLXktYnVpbHQtaW4tZ2VybWFueS1zcG90dGVkLWhhcmR3YXJlLTQvYW1wLw?oc=5","Tesla Model Y built in Germany spotted with Hardware 4  TESLARATI","Thu, 16 May 2024 07:00:00 GMT"
"Chinese electric car maker Nio unveils rival to Tesla's Model Y - BBC.com","https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hcnRpY2xlcy9ja3I1cm1nMGQ1OG_SATJodHRwczovL3d3dy5iYmMuY29tL25ld3MvYXJ0aWNsZXMvY2tyNXJtZzBkNThvLmFtcA?oc=5","Chinese electric car maker Nio unveils rival to Tesla's Model Y  BBC.com","Wed, 15 May 2024 07:00:00 GMT"
"2024 Jeep Wagoneer S EV: Tesla Model Y rival set for May 30 reveal - Green Car Reports","https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmdyZWVuY2FycmVwb3J0cy5jb20vbmV3cy8xMTQzMjU3XzIwMjQtamVlcC13YWdvbmVlci1zLWV2LXRlc2xhLW1vZGVsLXktcml2YWwtdGVhc2Vy0gEA?oc=5","2024 Jeep Wagoneer S EV: Tesla Model Y rival set for May 30 reveal  Green Car Reports","Thu, 23 May 2024 14:00:00 GMT"
"This was the best-selling car in California in 2023 — and it’s not even close - KRON4","https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3Lmtyb240LmNvbS9uZXdzL2NhbGlmb3JuaWEvdGhpcy13YXMtdGhlLWJlc3Qtc2VsbGluZy1jYXItaW4tY2FsaWZvcm5pYS1pbi0yMDIzLWFuZC1pdHMtbm90LWV2ZW4tY2xvc2Uv0gF1aHR0cHM6Ly93d3cua3JvbjQuY29tL25ld3MvY2FsaWZvcm5pYS90aGlzLXdhcy10aGUtYmVzdC1zZWxsaW5nLWNhci1pbi1jYWxpZm9ybmlhLWluLTIwMjMtYW5kLWl0cy1ub3QtZXZlbi1jbG9zZS9hbXAv?oc=5","This was the best-selling car in California in 2023 — and it’s not even close  KRON4","Thu, 02 May 2024 07:00:00 GMT"
"Are the Tesla Model Y's Third-Row Seats Worth It? - MotorTrend","https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3Lm1vdG9ydHJlbmQuY29tL3Jldmlld3MvMjAyNC10ZXNsYS1tb2RlbC15LWxvbmctcmFuZ2UteWVhcmxvbmctcmV2aWV3LXVwZGF0ZS00LXRoaXJkLXJvdy_SAQA?oc=5","Are the Tesla Model Y's Third-Row Seats Worth It?  MotorTrend","Mon, 06 May 2024 07:00:00 GMT"
"Tesla reportedly cuts Model Y production at Shanghai plant - Yahoo Finance","https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vdmlkZW8vdGVzbGEtcmVwb3J0ZWRseS1jdXRzLW1vZGVsLXktMTMzOTAxNTgwLmh0bWzSAQA?oc=5","Tesla reportedly cuts Model Y production at Shanghai plant  Yahoo Finance","Fri, 24 May 2024 13:39:01 GMT"
"Tesla plans to charge some Model Y owners to unlock more range - The Verge","https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDI0LzUvNS8yNDE0OTQ0Ny90ZXNsYS1tb2RlbC15LXNvZnR3YXJlLWxvY2tlZC1iYXR0ZXJ5LWNhcGFjaXR50gEA?oc=5","Tesla plans to charge some Model Y owners to unlock more range  The Verge","Sun, 05 May 2024 07:00:00 GMT"
"BYD launches Tesla Model Y rivaling Sea Lion 07 starting at $26K - Electrek.co","https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vZWxlY3RyZWsuY28vMjAyNC8wNS8xMy9ieWQtbGF1bmNoZXMtdGVzbGEtbW9kZWwteS1yaXZhbGluZy1zZWEtbGlvbi0wNy1zdGFydGluZy0yNmsv0gEA?oc=5","BYD launches Tesla Model Y rivaling Sea Lion 07 starting at $26K  Electrek.co","Mon, 13 May 2024 07:00:00 GMT"
